enzyme_id,type,orthology_group,uniprot,protein_refseq,dna_refseq,gene_name,gene_id,species,branch_site_specificity
82,GT,Fut4,P22083,NP_002024,NM_002033,FUT4,2526,Homo sapiens,
83,GT,Mgat1,P27808,NP_034924,NM_010794,Mgat1,17308,Mus musculus,
84,GT,B3gnt4,Q9C0J1,NP_110392,NM_030765,B3GNT4,79369,Homo sapiens,
85,GT,Mgat5,Q8R4G6,NP_660110,NM_145128,Mgat5,107895,Mus musculus,
86,GT,St3gal3,P97325,NP_033202,NM_009176,St3gal3,20441,Mus musculus,Branch site specificity unknown
87,GT,Fut6,P51993,NP_000141,NM_000150,FUT6,2528,Homo sapiens,
88,GT,Alg12,Q9BV10,NP_077010,NM_024105,ALG12,79087,Homo sapiens,
89,GT,Mgat4b,Q9UQ53,NP_055090,NM_014275,MGAT4B,11282,Homo sapiens,
90,GT,B4galt1,P15291,NP_001488,NM_001497,B4GALT1,2683,Homo sapiens,
91,GT,B4galt1,P15535,NP_071641,NM_022305,B4galt1,14595,Mus musculus,Branch site specificity unknown
92,GT,Alg8,Q6P8H8,NP_950200,NM_199035,Alg8,381903,Mus musculus,
93,GT,C1galt1,Q9NS00,NP_064541,NM_020156,C1GALT1,56913,Homo sapiens,
94,GT,C1galt1,Q9JJ06,NP_443719,NM_052993,C1galt1,94192,Mus musculus,
95,CH,C1galt1c1,Q9JMG2,NP_067525,NM_021550,C1galt1c1,59048,Mus musculus,
96,CH,C1galt1c1,Q96EU7,NP_689905,NM_152692,C1GALT1C1,29071,Homo sapiens,
97,GT,St3gal1,P54751,NP_033203,NM_009177,St3gal1,20442,Mus musculus,
98,GT,St3gal1,Q11201,NP_775479,NM_173344,ST3GAL1,6482,Homo sapiens,
99,GT,A4gnt,Q14BT6,NP_001070892,NM_001077424,A4gnt,333424,Mus musculus,
100,GT,A4gnt,Q9UNA3,NP_057245,NM_016161,A4GNT,51146,Homo sapiens,
101,GT,St6galnac1,Q9QZ39,NP_035501,NM_011371,St6galnac1,20445,Mus musculus,
102,GT,St6galnac1,Q9NSC7,NP_060884,NM_018414,ST6GALNAC1,55808,Homo sapiens,
103,GT,St6galnac2,P70277,NP_033206,NM_009180,St6galnac2,20446,Mus musculus,
104,GT,St6galnac2,Q9UJ37,NP_006447,NM_006456,ST6GALNAC2,10610,Homo sapiens,
105,GT,St6galnac3,Q9WUV2,NP_035502,NM_011372,St6galnac3,20447,Mus musculus,
106,GT,St6galnac3,Q8NDV1,NP_694541,NM_152996,ST6GALNAC3,256435,Homo sapiens,
107,GT,St6galnac4,Q9R2B6,NP_035503,NM_011373,St6galnac4,20448,Mus musculus,
108,GT,St6galnac4,Q9H4F1,NP_778204,NM_175039,ST6GALNAC4,27090,Homo sapiens,
109,GT,St6galnac5,Q9QYJ1,NP_036158,NM_012028,St6galnac5,26938,Mus musculus,
110,GT,St6galnac5,Q9BVH7,NP_112227,NM_030965,ST6GALNAC5,81849,Homo sapiens,
111,GT,St6galnac6,Q9JM95,NP_058669,NM_016973,St6galnac6,50935,Mus musculus,
112,GT,St6galnac6,Q969X2,NP_038471,NM_013443,ST6GALNAC6,30815,Homo sapiens,
113,GT,Galnt1,O08912,NP_038842,NM_013814,Galnt1,14423,Mus musculus,Ambiguous transcript or protein accession
114,GT,Galnt1,Q10472,NP_065207,NM_020474,GALNT1,2589,Homo sapiens,Ambiguous transcript or protein accession
115,GT,Galnt2,Q6PB93,NP_644678,NM_139272,Galnt2,108148,Mus musculus,
116,GT,Galnt2,Q10471,NP_004472,NM_004481,GALNT2,2590,Homo sapiens,Ambiguous transcript or protein accession
117,GT,Galnt3,P70419,NP_056551,NM_015736,Galnt3,14425,Mus musculus,
118,GT,Galnt3,Q14435,NP_004473,NM_004482,GALNT3,2591,Homo sapiens,
119,GT,Galnt4,O08832,NP_056552,NM_015737,Galnt4,14426,Mus musculus,
120,GT,Galnt4,Q8N4A0,NP_003765,NM_003774,GALNT4,8693,Homo sapiens,
121,GT,Galnt5,Q8C102,NP_766443,NM_172855,Galnt5,241391,Mus musculus,
122,GT,Galnt5,Q7Z7M9,NP_055383,NM_014568,GALNT5,11227,Homo sapiens,Ambiguous transcript or protein accession
123,GT,Galnt6,Q8C7U7,NP_766039,NM_172451,Galnt6,207839,Mus musculus,Ambiguous transcript or protein accession
124,GT,Galnt6,Q8NCL4,NP_009141,NM_007210,GALNT6,11226,Homo sapiens,
125,GT,Galnt7,Q80VA0,NP_653332,NM_144731,Galnt7,108150,Mus musculus,Ambiguous transcript or protein accession
126,GT,Galnt7,Q86SF2,NP_059119,NM_017423,GALNT7,51809,Homo sapiens,Ambiguous transcript or protein accession
127,GT,Galnt9,G3X942,NP_938048,NM_198306,Galnt9,231605,Mus musculus,Ambiguous transcript or protein accession
128,GT,Galnt9,Q9HCQ5,NP_068580,NM_021808,GALNT9,50614,Homo sapiens,Ambiguous transcript or protein accession
129,GT,Galnt10,Q6P9S7,NP_598950,NM_134189,Galnt10,171212,Mus musculus,
130,GT,Galnt10,Q86SR1,NP_938080,NM_198321,GALNT10,55568,Homo sapiens,
131,GT,Galnt11,Q921L8,NP_659157,NM_144908,Galnt11,231050,Mus musculus,Ambiguous transcript or protein accession
132,GT,Galnt11,Q8NCW6,NP_071370,NM_022087,GALNT11,63917,Homo sapiens,Ambiguous transcript or protein accession
133,GT,Galnt12,Q8BGT9,NP_766281,NM_172693,Galnt12,230145,Mus musculus,
134,GT,Galnt12,Q8IXK2,NP_078918,NM_024642,GALNT12,79695,Homo sapiens,
135,GT,Galnt13,Q8CF93,NP_766618,NM_173030,Galnt13,271786,Mus musculus,
136,GT,Galnt13,Q8IUC8,NP_443149,NM_052917,GALNT13,114805,Homo sapiens,Ambiguous transcript or protein accession
137,GT,Galnt14,Q8BVG5,NP_082140,NM_027864,Galnt14,71685,Mus musculus,
138,GT,Galnt14,Q96FL9,NP_078848,NM_024572,GALNT14,79623,Homo sapiens,Ambiguous transcript or protein accession
139,GT,Galnt16,Q9JJ61,NP_001348630,NM_001361701,Galnt16,108760,Mus musculus,Ambiguous transcript or protein accession
140,GT,Galnt16,Q8N428,NP_065743,NM_020692,GALNT16,57452,Homo sapiens,Ambiguous transcript or protein accession
141,GT,Galnt15,Q9D2N8,NP_084442,NM_030166,Galnt15,78754,Mus musculus,
142,GT,Galnt15,Q8N3T1,NP_473451,NM_054110,GALNT15,117248,Homo sapiens,Ambiguous transcript or protein accession
143,GT,Galnt18,Q8K1B9,NP_776100,NM_173739,Galnt18,233733,Mus musculus,Ambiguous transcript or protein accession
144,GT,Galnt18,Q6P9A2,NP_940918,NM_198516,GALNT18,374378,Homo sapiens,Ambiguous transcript or protein accession
145,GT,Galntl5,Q9D4M9,NP_080725,NM_026449,Galntl5,67909,Mus musculus,
146,GT,Galntl5,Q7Z4T8,NP_660335,NM_145292,GALNTL5,168391,Homo sapiens,
147,GT,Galnt17,Q7TT15,NP_660253,NM_145218,Galnt17,212996,Mus musculus,
148,GT,Galnt17,Q6IS24,NP_071924,NM_022479,GALNT17,64409,Homo sapiens,
149,GT,Galntl6,E5D8G1,NP_778197,NM_175032,Galntl6,270049,Mus musculus,
150,GT,Galntl6,Q49A17,NP_001030017,NM_001034845,GALNTL6,442117,Homo sapiens,
151,GT,B3gnt3,Q5JCS9,NP_082465,NM_028189,B3gnt3,72297,Mus musculus,
152,GT,B3gnt3,Q9Y2A9,NP_055071,NM_014256,B3GNT3,10331,Homo sapiens,
153,GT,Gcnt1,Q09324,NP_775618,NM_173442,Gcnt1,14537,Mus musculus,Ambiguous transcript or protein accession
154,GT,Gcnt1,Q02742,NP_001481,NM_001490,GCNT1,2650,Homo sapiens,Ambiguous transcript or protein accession
155,GT,Gcnt2,P97402,NP_573482,NM_133219,Gcnt2,14538,Mus musculus,Ambiguous transcript or protein accession
156,GT,Gcnt2,Q8N0V5,NP_663630,NM_145655,GCNT2,2651,Homo sapiens,Ambiguous transcript or protein accession
157,GT,Gcnt3,Q5JCT0,NP_082363,NM_028087,Gcnt3,72077,Mus musculus,
158,GT,Gcnt3,O95395,NP_004742,NM_004751,GCNT3,9245,Homo sapiens,
159,GT,A3galt2,Q3V1N9,NP_001009819,NM_001009819,A3galt2,215493,Mus musculus,
160,GT,A3galt2,U3KPV4,NP_001073907,NM_001080438,A3GALT2,127550,Homo sapiens,
161,GT,B3gnt6,Q3USF0,NP_001074636,NM_001081167,B3gnt6,272411,Mus musculus,
162,GT,B3gnt6,Q6ZMB0,NP_619651,NM_138706,B3GNT6,192134,Homo sapiens,
163,GT,Ggta1,P23336,NP_034413,NM_010283,Ggta1,14594,Mus musculus,Ambiguous transcript or protein accession
164,GT,Ggta1,Q4G0N0,NP_001369516,NM_001382587,GGTA1,2681,Homo sapiens,Ambiguous transcript or protein accession
165,GT,B4gat1,Q8BWP8,NP_780592,NM_175383,B4gat1,108902,Mus musculus,
166,GT,B4gat1,O43505,NP_006867,NM_006876,B4GAT1,11041,Homo sapiens,
167,GT,Ogt,Q8CGY8,NP_631883,NM_139144,Ogt,108155,Mus musculus,Ambiguous transcript or protein accession
168,GT,Ogt,O15294,NP_858059,NM_181673,OGT,8473,Homo sapiens,Ambiguous transcript or protein accession
169,GT,Pofut1,Q91ZW2,NP_536711,NM_080463,Pofut1,140484,Mus musculus,
170,GT,Pofut1,Q9H488,NP_758436,NM_172236,POFUT1,23509,Homo sapiens,Ambiguous transcript or protein accession
171,GT,Lfng,O09010,NP_032520,NM_008494,Lfng,16848,Mus musculus,
172,GT,Lfng,Q8NES3,NP_002295,NM_002304,LFNG,3955,Homo sapiens,Ambiguous transcript or protein accession
173,GT,Mfng,O09008,NP_032621,NM_008595,Mfng,17305,Mus musculus,Ambiguous transcript or protein accession
174,GT,Mfng,O00587,NP_002396,NM_002405,MFNG,4242,Homo sapiens,Ambiguous transcript or protein accession
175,GT,Rfng,O09009,NP_033079,NM_009053,Rfng,19719,Mus musculus,
176,GT,Rfng,Q9Y644,NP_002908,NM_002917,RFNG,5986,Homo sapiens,
177,GT,Pomt2,Q8BGQ4,NP_700464,NM_153415,Pomt2,217734,Mus musculus,
178,GT,Pomt2,Q9UKY4,NP_037514,NM_013382,POMT2,29954,Homo sapiens,
179,GT,B3glct,Q8BHT6,NP_001074673,NM_001081204,B3glct,381694,Mus musculus,
180,GT,B3glct,Q6Y288,NP_919299,NM_194318,B3GLCT,145173,Homo sapiens,
181,GT,B4galt5,Q9JMK0,NP_062809,NM_019835,B4galt5,56336,Mus musculus,
182,GT,B4galt5,O43286,NP_004767,NM_004776,B4GALT5,9334,Homo sapiens,
183,GT,B4galt4,Q9JJ04,NP_062778,NM_019804,B4galt4,56375,Mus musculus,Ambiguous transcript or protein accession
184,GT,B4galt4,O60513,NP_997708,NM_212543,B4GALT4,8702,Homo sapiens,Ambiguous transcript or protein accession
185,GT,Pomgnt1,Q91X88,NP_084062,NM_029786,Pomgnt1,68273,Mus musculus,Ambiguous transcript or protein accession
186,GT,Pomgnt1,Q8WZA1,NP_060209,NM_017739,POMGNT1,55624,Homo sapiens,Ambiguous transcript or protein accession
187,GT,Oga,Q9EQQ9,NP_076288,NM_023799,Oga,76055,Mus musculus,Ambiguous transcript or protein accession
188,GT,Oga,O60502,NP_036347,NM_012215,OGA,10724,Homo sapiens,Ambiguous transcript or protein accession
189,GT,Pofut2,Q8VHI3,NP_084538,NM_030262,Pofut2,80294,Mus musculus,
190,GT,Pofut2,Q9Y2G5,NP_598368,NM_133635,POFUT2,23275,Homo sapiens,Ambiguous transcript or protein accession
191,GT,Pomt1,Q8R2R1,NP_660127,NM_145145,Pomt1,99011,Mus musculus,
192,GT,Pomt1,Q9Y6A1,NP_009102,NM_007171,POMT1,10585,Homo sapiens,Ambiguous transcript or protein accession
193,GT,Fut7,Q11131,NP_038552,NM_013524,Fut7,14347,Mus musculus,Ambiguous transcript or protein accession
194,GT,Fut7,Q11130,NP_004470,NM_004479,FUT7,2529,Homo sapiens,
195,GT,St3gal2,Q11204,NP_033205,NM_009179,St3gal2,20444,Mus musculus,
196,GT,St3gal2,Q16842,NP_008858,NM_006927,ST3GAL2,6483,Homo sapiens,
197,GT,St3gal5,O88829,NP_035505,NM_011375,St3gal5,20454,Mus musculus,Ambiguous transcript or protein accession
198,GT,St3gal5,Q9UNP4,NP_003887,NM_003896,ST3GAL5,8869,Homo sapiens,Ambiguous transcript or protein accession
199,GT,B3galt1,O54904,NP_064679,NM_020283,B3galt1,26877,Mus musculus,Ambiguous transcript or protein accession
200,GT,B3galt1,Q9Y5Z6,NP_066191,NM_020981,B3GALT1,8708,Homo sapiens,
201,GT,B3galnt1,Q920V1,NP_064410,NM_020026,B3galnt1,26879,Mus musculus,Ambiguous transcript or protein accession
202,GT,B3galnt1,O75752,NP_149359,NM_033169,B3GALNT1,8706,Homo sapiens,Ambiguous transcript or protein accession
203,GT,B3galt4,Q9Z0F0,NP_062293,NM_019420,B3galt4,54218,Mus musculus,
204,GT,B3galt4,O96024,NP_003773,NM_003782,B3GALT4,8705,Homo sapiens,
205,GT,B3gnt5,Q8BGY6,NP_473393,NM_054052,B3gnt5,108105,Mus musculus,Ambiguous transcript or protein accession
206,GT,B3gnt5,Q9BYG0,NP_114436,NM_032047,B3GNT5,84002,Homo sapiens,
207,GT,B4galnt1,Q09200,NP_082015,NM_027739,B4galnt1,14421,Mus musculus,Ambiguous transcript or protein accession
208,GT,B4galnt1,Q00973,NP_001469,NM_001478,B4GALNT1,2583,Homo sapiens,Ambiguous transcript or protein accession
209,GT,B4galnt2,Q09199,NP_032107,NM_008081,B4galnt2,14422,Mus musculus,
210,GT,B4galnt2,Q8NHY0,NP_703147,NM_153446,B4GALNT2,124872,Homo sapiens,Ambiguous transcript or protein accession
211,GT,Chst8,Q8BQ86,NP_780349,NM_175140,Chst8,68947,Mus musculus,
212,GT,Chst8,Q9H2A9,NP_071912,NM_022467,CHST8,64377,Homo sapiens,Ambiguous transcript or protein accession
213,GT,Chst9,Q76EC5,NP_951010,NM_199055,Chst9,71367,Mus musculus,Ambiguous transcript or protein accession
214,GT,Chst9,Q7L1S5,NP_113610,NM_031422,CHST9,83539,Homo sapiens,Ambiguous transcript or protein accession
215,GT,Gal3st1,Q9JHE4,NP_058618,NM_016922,Gal3st1,53897,Mus musculus,Ambiguous transcript or protein accession
216,GT,Gal3st1,Q99999,NP_004852,NM_004861,GAL3ST1,9514,Homo sapiens,Ambiguous transcript or protein accession
217,GT,Chst2,Q80WV3,NP_061233,NM_018763,Chst2,54371,Mus musculus,
218,GT,Chst2,Q9Y4C5,NP_004258,NM_004267,CHST2,9435,Homo sapiens,Ambiguous transcript or protein accession
219,GT,Chst4,Q9R1I1,NP_036128,NM_011998,Chst4,26887,Mus musculus,
220,GT,Chst4,Q8NCG5,NP_005760,NM_005769,CHST4,10164,Homo sapiens,Ambiguous transcript or protein accession
221,GT,B3gat1,Q9CW73,NP_084068,NM_029792,B3gat1,76898,Mus musculus,Ambiguous transcript or protein accession
222,GT,B3gat1,Q9P2W7,NP_473366,NM_054025,B3GAT1,27087,Homo sapiens,Ambiguous transcript or protein accession
223,GT,B3gat2,P59270,NP_742122,NM_172124,B3gat2,280645,Mus musculus,
224,GT,B3gat2,Q9NPZ5,NP_542780,NM_080742,B3GAT2,135152,Homo sapiens,
225,GT,Chst10,Q6PGK7,NP_660124,NM_145142,Chst10,98388,Mus musculus,Ambiguous transcript or protein accession
226,GT,Chst10,O43529,NP_004845,NM_004854,CHST10,9486,Homo sapiens,
227,GT,Poglut1,Q8BYB9,NP_759012,NM_172380,Poglut1,224143,Mus musculus,Ambiguous transcript or protein accession
228,GT,Poglut1,Q8NBL1,NP_689518,NM_152305,POGLUT1,56983,Homo sapiens,
229,GT,Gxylt1,Q3UHH8,NP_001343935,NM_001357006,Gxylt1,223827,Mus musculus,Ambiguous transcript or protein accession
230,GT,Gxylt1,Q4G148,NP_775872,NM_173601,GXYLT1,283464,Homo sapiens,Ambiguous transcript or protein accession
231,GT,Gxylt2,Q810K9,NP_941014,NM_198612,Gxylt2,232313,Mus musculus,
232,GT,Gxylt2,A0PJZ3,NP_001073862,NM_001080393,GXYLT2,727936,Homo sapiens,
233,GT,Xxylt1,Q3U4G3,NP_941028,NM_198626,Xxylt1,268880,Mus musculus,
234,GT,Xxylt1,Q8NBI6,NP_689744,NM_152531,XXYLT1,152002,Homo sapiens,Ambiguous transcript or protein accession
235,GT,Poglut2,Q9JHP7,NP_076134,NM_023645,Poglut2,72050,Mus musculus,
236,GT,Poglut2,Q6UW63,NP_076994,NM_024089,POGLUT2,79070,Homo sapiens,Ambiguous transcript or protein accession
237,GT,Poglut3,G5E897,NP_997610,NM_212445,Poglut3,68304,Mus musculus,
238,GT,Poglut3,Q7Z4H8,NP_714916,NM_153705,POGLUT3,143888,Homo sapiens,Ambiguous transcript or protein accession
239,GT,Eogt,Q8BYW9,NP_780522,NM_175313,Eogt,101351,Mus musculus,
240,GT,Eogt,Q5NDL2,NP_775925,NM_173654,EOGT,285203,Homo sapiens,Ambiguous transcript or protein accession
241,GT,Alg3,F1M8K7,,,Alg3,287983,Rattus norvegicus,
242,GT,St3gal5,Q68G12,NP_112627,,St3gal5,83505,Rattus norvegicus,
243,GT,B3gat2,Q9Z137,NP_072131,,B3gat2,64544,Rattus norvegicus,
244,GT,Galnt9,D3ZQA1,NP_001116116,,Galnt9,304571,Rattus norvegicus,
245,GT,St6gal2,Q701R3,NP_001094358,,St6gal2,301155,Rattus norvegicus,
246,GT,B3gat1,O35789,NP_446455,,B3gat1,117108,Rattus norvegicus,
247,GT,Pofut1,Q6EV70,NP_001002278,,Pofut1,311551,Rattus norvegicus,
248,GT,Alg8,E9PT91,,,Alg8,293129,Rattus norvegicus,
249,GT,Fut8,Q6EV76,NP_001002289,,Fut8,432392,Rattus norvegicus,
250,GT,Alg1,D4A5S6,NP_001101734,,Alg1,360475,Rattus norvegicus,
251,GT,Pomt2,Q14U74,NP_001040579,,Pomt2,688673,Rattus norvegicus,
252,GT,Poglut1,G3V9D0,NP_001094122,,Poglut1,288091,Rattus norvegicus,
253,GT,Chst9,F1M862,NP_001163941,,Chst9,291770,Rattus norvegicus,
254,GT,Fut10,Q5F2L1,NP_001012360,,Fut10,497619,Rattus norvegicus,
255,GT,St3gal1,A0A1W2Q5Z7,,,St3gal1,362924,Rattus norvegicus,
256,GT,Alg6,Q3T1L5,NP_001028881,,Alg6,362547,Rattus norvegicus,
257,GT,Fut2,Q10984,NP_113823,,Fut2,58924,Rattus norvegicus,
258,GT,St6galnac3,Q64686,NP_061996,,St6galnac3,29758,Rattus norvegicus,
259,GT,B4galt3,Q6P768,NP_001009539,,B4galt3,494342,Rattus norvegicus,
260,GT,A4gnt,D3ZG90,NP_001413844,,A4gnt,685758,Rattus norvegicus,
261,GT,Alg14,Q6AY85,NP_001014198,,Alg14,362031,Rattus norvegicus,
262,GT,Pofut2,D3ZUN5,,,Pofut2,309686,Rattus norvegicus,
263,GT,Galnt15,D4A3A9,XP_003752912,,Galnt15,100360475,Rattus norvegicus,
264,GT,Alg11,D3ZCQ2,NP_001101871,,Alg11,361174,Rattus norvegicus,
265,GT,Poglut3,Q566E5,NP_001020294,,Poglut3,315664,Rattus norvegicus,
266,GT,St6galnac1,G3V9C4,NP_001099329,,St6galnac1,287920,Rattus norvegicus,
267,GT,C1galt1c1,Q499P3,NP_001025204,,C1galt1c1,302499,Rattus norvegicus,
268,GT,B4galnt1,Q10468,NP_074051,,B4galnt1,64828,Rattus norvegicus,
269,GT,St6gal1,P13721,NP_001106815,,St6gal1,25197,Rattus norvegicus,
270,GT,Chst10,O54702,NP_536322,,Chst10,140568,Rattus norvegicus,
